name	code	jobs	median	mean	perc_10	perc_20	perc_25	perc_30	perc_40	perc_60	perc_70	perc_75	perc_80	perc_90
United Kingdom 	K02000001	22154.00	24003.00	29817.00	7761.00	12362.00	14726.00	16688.00	20255.00	28340.00	33504.00	36622.00	40344.00	52715.00
Great Britain	K03000001	21318.00	24087.00	29950.00	7765.00	12398.00	14767.00	16739.00	20326.00	28440.00	33604.00	36757.00	40493.00	53000.00
England and Wales	K04000001	19310.00	24130.00	30140.00	7724.00	12346.00	14739.00	16707.00	20307.00	28505.00	33729.00	36991.00	40822.00	53448.00
England	E92000001	18309.00	24283.00	30397.00	7735.00	12368.00	14775.00	16761.00	20400.00	28680.00	33964.00	37204.00	41128.00	54026.00
North East 	E12000001	879.00	21869.00	25805.00	7755.00	12067.00	14210.00	15846.00	18796.00	25472.00	29859.00	32784.00	35985.00	44585.00
Darlington 	E06000005	40.00	21867.00	26908.00	8232.00	13078.00	14506.00	16269.00	19541.00	25547.00	30639.00	34049.00	x	x
Hartlepool 	E06000001	34.00	22322.00	25985.00	8847.00	12167.00	13775.00	16058.00	19476.00	26065.00	29892.00	33590.00	35748.00	x
Middlesbrough 	E06000002	43.00	19120.00	22878.00	6851.00	x	11479.00	13352.00	16971.00	24065.00	27135.00	29308.00	32236.00	x
Redcar and Cleveland 	E06000003	37.00	19859.00	23236.00	6496.00	10998.00	13057.00	14852.00	17548.00	22945.00	26319.00	31004.00	33661.00	x
Stockton-on-Tees 	E06000004	70.00	21781.00	26622.00	7860.00	12928.00	14742.00	16140.00	19275.00	26115.00	31512.00	34094.00	36826.00	x
County Durham 	E06000047	180.00	23158.00	26634.00	8889.00	13595.00	15267.00	17255.00	20000.00	26521.00	31585.00	34777.00	37672.00	x
Northumberland 	E06000057	109.00	21382.00	25438.00	6823.00	10913.00	13158.00	15206.00	17984.00	24463.00	29514.00	31954.00	35398.00	x
Tyne and Wear Met County	E11000007	367.00	21702.00	25817.00	7650.00	11944.00	14067.00	15607.00	18768.00	25427.00	29617.00	32237.00	35698.00	44683.00
  Gateshead	E08000037	76.00	21560.00	24462.00	7851.00	12158.00	14144.00	15795.00	18654.00	25171.00	28676.00	31740.00	34086.00	x
  Newcastle upon Tyne	E08000021	80.00	21999.00	28350.00	6547.00	10567.00	12449.00	14645.00	17948.00	25596.00	29903.00	32702.00	36396.00	x
  North Tyneside	E08000022	74.00	23208.00	27296.00	8098.00	11959.00	14265.00	16092.00	19460.00	27235.00	31979.00	35711.00	39527.00	x
  South Tyneside	E08000023	40.00	22040.00	25656.00	8947.00	12416.00	14532.00	16643.00	19010.00	24961.00	28333.00	32405.00	35549.00	x
  Sunderland	E08000024	97.00	20776.00	23743.00	7587.00	12366.00	14258.00	15633.00	18422.00	24162.00	28596.00	30739.00	33695.00	40944.00
North West 	E12000002	2374.00	22683.00	26899.00	7512.00	12213.00	14395.00	16212.00	19293.00	26533.00	31355.00	34592.00	38052.00	48071.00
Blackburn with Darwen 	E06000008	42.00	19879.00	22198.00	x	x	12825.00	15355.00	17583.00	22604.00	26952.00	28793.00	x	x
Blackpool 	E06000009	42.00	18210.00	21181.00	6242.00	10839.00	12394.00	13649.00	16522.00	21374.00	24572.00	28639.00	30077.00	x
Halton 	E06000006	44.00	21958.00	26328.00	7807.00	12589.00	14804.00	16349.00	19941.00	26558.00	31225.00	34554.00	38987.00	x
Warrington 	E06000007	76.00	25373.00	29842.00	8134.00	13723.00	15920.00	17698.00	21347.00	29732.00	35905.00	38410.00	42017.00	x
Cheshire East 	E06000049	134.00	24028.00	31067.00	x	11887.00	14091.00	16507.00	20434.00	28347.00	33937.00	38181.00	41859.00	x
Cheshire West and Chester 	E06000050	125.00	24227.00	29183.00	7297.00	13928.00	16217.00	17777.00	21012.00	28878.00	34612.00	37676.00	x	x
Cumbria	E10000006	184.00	22675.00	26942.00	7233.00	11638.00	13910.00	15692.00	18830.00	27008.00	32493.00	36313.00	40740.00	50728.00
  Allerdale	E07000026	40.00	22720.00	28789.00	x	12685.00	15545.00	16328.00	18919.00	28671.00	35594.00	39784.00	x	x
  Barrow-in-Furness	E07000027	24.00	26508.00	27140.00	x	11497.00	12618.00	15130.00	20615.00	30904.00	36083.00	38693.00	43242.00	x
  Carlisle	E07000028	41.00	21509.00	23809.00	7528.00	11968.00	14098.00	15803.00	18654.00	23651.00	26004.00	29067.00	31268.00	x
  Copeland	E07000029	22.00	x	31177.00	x	9576.00	12441.00	14291.00	18559.00	37141.00	46417.00	50576.00	51909.00	x
  Eden	E07000030	18.00	x	22359.00	x	x	x	x	x	x	x	x	x	x
  South Lakeland	E07000031	39.00	23559.00	27942.00	x	x	x	x	19449.00	28173.00	33400.00	x	x	x
Greater Manchester Met County	E11000001	873.00	22660.00	26639.00	7561.00	12341.00	14644.00	16317.00	19460.00	26415.00	30941.00	34034.00	37081.00	47120.00
  Bolton	E08000001	80.00	20726.00	24501.00	x	x	13859.00	15578.00	18216.00	24634.00	28881.00	30541.00	x	x
  Bury	E08000002	65.00	25433.00	27123.00	8861.00	13853.00	15758.00	17256.00	20904.00	29376.00	33632.00	35567.00	38187.00	x
  Manchester	E08000003	136.00	22188.00	25239.00	6605.00	11249.00	14386.00	16089.00	19233.00	25481.00	29494.00	31836.00	35722.00	46097.00
  Oldham	E08000004	74.00	20509.00	23601.00	6145.00	11324.00	13288.00	15107.00	17143.00	23685.00	26779.00	29433.00	33014.00	x
  Rochdale	E08000005	66.00	20874.00	24755.00	x	x	x	14853.00	17797.00	24202.00	28753.00	x	x	x
  Salford	E08000006	84.00	21999.00	24908.00	x	12006.00	14754.00	16627.00	19184.00	25384.00	29207.00	32336.00	35954.00	x
  Stockport	E08000007	102.00	25078.00	30372.00	8497.00	13202.00	15653.00	17804.00	20803.00	29879.00	35417.00	38893.00	43717.00	x
  Tameside	E08000008	75.00	21923.00	23571.00	8394.00	13114.00	15229.00	16643.00	18834.00	24433.00	27544.00	29974.00	32715.00	x
  Trafford	E08000009	81.00	28566.00	36338.00	8160.00	14615.00	17445.00	19688.00	24494.00	33986.00	40357.00	44076.00	47049.00	x
  Wigan	E08000010	111.00	22243.00	25597.00	7712.00	11877.00	14012.00	15807.00	19220.00	25882.00	30604.00	33976.00	36895.00	x
