code	name	2019 Q2	2019 Q1	2018 Q4	2018 Q3	2018 Q2	2018 Q1	2017 Q4	2017 Q3	2017 Q2	2017 Q1	2016 Q4	2016 Q3	2016 Q2	2016 Q1	2015 Q4	2015 Q3	2015 Q2	2015 Q1	2014 Q4	2014 Q3	2014 Q2	2014 Q1	2013 Q4	2013 Q3	2013 Q2	2013 Q1	2012 Q4	2012 Q3	2012 Q2	2012 Q1	2011 Q4
K02000001	United Kingdom	226836.00	214395.00	200316.00	185496.00	170600.00	157404.00	143758.00	132332.00	118728.00	108436.00	95658.00	87126.00	76789.00	68026.00	57047.00	50472.00	44382.00	38846.00	30891.00	25764.00	21030.00	18699.00	16971.00	16048.00	15466.00	14647.00	14110.00	13337.00	12861.00	12314.00	12004.00
K03000001	Great Britain	223982.00	211632.00	197730.00	183019.00	168262.00	155268.00	141793.00	130536.00	117081.00	106905.00	94282.00	85878.00	75695.00	67027.00	56204.00	49721.00	43713.00	38269.00	30424.00	25361.00	20718.00	18403.00	16713.00	15817.00	15257.00	14473.00	13945.00	13189.00	12740.00	12210.00	11905.00
E92000001	England	202116.00	191221.00	179150.00	165412.00	152517.00	140412.00	128863.00	118267.00	106488.00	97235.00	85778.00	78002.00	68954.00	60821.00	50811.00	44617.00	39356.00	34409.00	27331.00	22549.00	18286.00	16316.00	14854.00	14028.00	13439.00	12820.00	12303.00	11776.00	11286.00	10907.00	10785.00
E12000001	North East	3780.00	3615.00	3552.00	3370.00	3225.00	3117.00	2987.00	2867.00	2737.00	2582.00	2427.00	2359.00	2269.00	2124.00	1909.00	1763.00	1579.00	1374.00	1111.00	894.00	695.00	597.00	524.00	537.00	516.00	497.00	474.00	460.00	459.00	415.00	425.00
E06000047	   County Durham UA	750.00	709.00	708.00	669.00	648.00	616.00	607.00	595.00	601.00	582.00	554.00	545.00	536.00	504.00	456.00	420.00	355.00	294.00	226.00	178.00	122.00	104.00	95.00	87.00	73.00	63.00	58.00	55.00	58.00	55.00	80.00
E06000005	   Darlington UA	195.00	192.00	183.00	186.00	175.00	161.00	159.00	136.00	126.00	119.00	108.00	86.00	69.00	66.00	56.00	49.00	48.00	41.00	37.00	29.00	26.00	20.00	19.00	19.00	17.00	16.00	11.00	11.00	11.00	10.00	11.00
E06000001	   Hartlepool UA	86.00	81.00	77.00	74.00	71.00	67.00	62.00	55.00	51.00	48.00	40.00	36.00	32.00	26.00	22.00	23.00	19.00	16.00	15.00	14.00	8.00	8.00	7.00	7.00	7.00	8.00	8.00	9.00	9.00	6.00	5.00
E06000002	   Middlesbrough UA	75.00	69.00	65.00	57.00	57.00	51.00	46.00	44.00	49.00	49.00	46.00	46.00	45.00	47.00	43.00	40.00	34.00	33.00	25.00	25.00	16.00	13.00	13.00	14.00	14.00	8.00	7.00	6.00	5.00	5.00	5.00
E06000057	   Northumberland UA	744.00	698.00	681.00	659.00	627.00	607.00	575.00	531.00	487.00	456.00	419.00	388.00	367.00	346.00	307.00	281.00	260.00	224.00	187.00	143.00	103.00	94.00	73.00	106.00	101.00	95.00	95.00	95.00	93.00	94.00	92.00
E06000003	   Redcar and Cleveland UA	104.00	83.00	83.00	80.00	71.00	69.00	67.00	70.00	51.00	45.00	38.00	36.00	35.00	36.00	35.00	30.00	28.00	20.00	17.00	11.00	8.00	8.00	6.00	5.00	c	c	c	5.00	c	c	c
E06000004	   Stockton-on-Tees UA	218.00	209.00	231.00	185.00	176.00	175.00	167.00	162.00	142.00	133.00	126.00	130.00	127.00	112.00	96.00	88.00	74.00	64.00	58.00	50.00	46.00	42.00	38.00	36.00	33.00	33.00	34.00	37.00	37.00	35.00	35.00
E11000007	   Tyne and Wear (Met County)	1596.00	1563.00	1513.00	1449.00	1389.00	1360.00	1293.00	1263.00	1219.00	1139.00	1085.00	1080.00	1047.00	976.00	883.00	821.00	750.00	671.00	535.00	433.00	355.00	297.00	262.00	252.00	256.00	260.00	247.00	231.00	231.00	196.00	183.00
E08000037	      Gateshead	312.00	307.00	291.00	273.00	270.00	263.00	244.00	249.00	243.00	232.00	208.00	208.00	205.00	191.00	175.00	169.00	152.00	144.00	130.00	108.00	103.00	92.00	86.00	88.00	95.00	99.00	93.00	81.00	81.00	71.00	53.00
E08000021	      Newcastle upon Tyne	404.00	381.00	356.00	328.00	307.00	294.00	284.00	266.00	249.00	228.00	216.00	219.00	210.00	190.00	166.00	149.00	146.00	134.00	109.00	94.00	75.00	56.00	47.00	43.00	47.00	40.00	42.00	39.00	34.00	30.00	31.00
E08000022	      North Tyneside	273.00	271.00	266.00	260.00	240.00	231.00	206.00	203.00	186.00	162.00	156.00	154.00	144.00	134.00	116.00	106.00	96.00	80.00	58.00	43.00	29.00	21.00	15.00	14.00	11.00	12.00	8.00	10.00	11.00	11.00	9.00
E08000023	      South Tyneside	260.00	262.00	259.00	248.00	249.00	252.00	253.00	241.00	227.00	220.00	215.00	208.00	201.00	184.00	162.00	155.00	149.00	134.00	99.00	79.00	64.00	53.00	38.00	35.00	35.00	34.00	32.00	30.00	28.00	28.00	26.00
E08000024	      Sunderland	347.00	342.00	341.00	340.00	323.00	320.00	306.00	304.00	314.00	297.00	290.00	291.00	287.00	277.00	264.00	242.00	207.00	179.00	139.00	109.00	84.00	75.00	76.00	72.00	68.00	75.00	72.00	71.00	77.00	56.00	64.00
E12000002	North West	11889.00	11347.00	10617.00	10021.00	9298.00	8725.00	8129.00	7606.00	6931.00	6500.00	5790.00	5452.00	5092.00	4770.00	4105.00	3593.00	3162.00	2729.00	2291.00	2004.00	1711.00	1512.00	1393.00	1343.00	1189.00	1065.00	1010.00	978.00	918.00	875.00	864.00
E06000008	   Blackburn with Darwen UA	160.00	158.00	151.00	152.00	139.00	128.00	112.00	103.00	104.00	97.00	84.00	80.00	71.00	60.00	54.00	48.00	46.00	34.00	34.00	28.00	28.00	23.00	22.00	25.00	22.00	17.00	17.00	18.00	20.00	19.00	18.00
E06000009	   Blackpool UA	226.00	214.00	200.00	197.00	183.00	182.00	170.00	168.00	162.00	151.00	135.00	123.00	117.00	108.00	93.00	77.00	61.00	42.00	26.00	21.00	23.00	23.00	19.00	22.00	22.00	20.00	18.00	14.00	11.00	10.00	9.00
E06000049	   Cheshire East UA	1428.00	1394.00	1313.00	1200.00	1097.00	1003.00	917.00	851.00	743.00	680.00	613.00	570.00	484.00	418.00	337.00	290.00	256.00	210.00	165.00	148.00	117.00	100.00	95.00	78.00	80.00	67.00	60.00	56.00	48.00	45.00	41.00
E06000050	   Cheshire West and Chester UA	843.00	811.00	792.00	761.00	699.00	632.00	575.00	540.00	469.00	429.00	385.00	351.00	331.00	296.00	240.00	218.00	184.00	155.00	122.00	106.00	88.00	75.00	68.00	64.00	60.00	51.00	49.00	46.00	42.00	42.00	38.00
E06000006	   Halton UA	207.00	204.00	183.00	174.00	163.00	161.00	142.00	130.00	126.00	127.00	119.00	107.00	93.00	99.00	87.00	76.00	70.00	58.00	52.00	45.00	46.00	42.00	43.00	43.00	40.00	38.00	30.00	29.00	28.00	30.00	29.00
E06000007	   Warrington UA	446.00	423.00	393.00	374.00	355.00	341.00	322.00	302.00	255.00	242.00	210.00	206.00	189.00	176.00	144.00	113.00	91.00	81.00	65.00	53.00	45.00	39.00	33.00	31.00	28.00	24.00	19.00	15.00	9.00	7.00	6.00
E10000006	   Cumbria	703.00	657.00	605.00	587.00	540.00	503.00	479.00	452.00	449.00	442.00	400.00	363.00	329.00	315.00	269.00	244.00	210.00	173.00	137.00	104.00	80.00	64.00	52.00	51.00	43.00	41.00	36.00	35.00	31.00	29.00	28.00
E07000026	      Allerdale	100.00	98.00	93.00	90.00	86.00	81.00	79.00	75.00	71.00	70.00	66.00	63.00	57.00	59.00	48.00	44.00	38.00	30.00	24.00	14.00	11.00	7.00	c	c	c	c	c	c	c	c	c
E07000027	      Barrow-in-Furness	52.00	49.00	49.00	52.00	50.00	46.00	44.00	41.00	38.00	35.00	28.00	29.00	31.00	31.00	25.00	24.00	19.00	12.00	10.00	7.00	c	c	5.00	7.00	c	c	c	c	c	c	c
E07000028	      Carlisle	137.00	127.00	118.00	120.00	110.00	99.00	95.00	99.00	123.00	117.00	109.00	91.00	71.00	64.00	55.00	51.00	42.00	38.00	27.00	22.00	14.00	9.00	8.00	9.00	8.00	8.00	6.00	5.00	c	c	c
E07000029	      Copeland	77.00	78.00	77.00	78.00	77.00	74.00	69.00	68.00	62.00	65.00	55.00	53.00	60.00	54.00	46.00	44.00	40.00	34.00	29.00	22.00	18.00	15.00	13.00	12.00	9.00	8.00	5.00	c	6.00	6.00	5.00
E07000030	      Eden	84.00	75.00	65.00	59.00	53.00	47.00	47.00	46.00	41.00	41.00	39.00	35.00	29.00	28.00	27.00	17.00	17.00	12.00	10.00	10.00	9.00	8.00	5.00	c	c	c	c	5.00	c	c	c
E07000031	      South Lakeland	253.00	230.00	203.00	188.00	164.00	156.00	145.00	123.00	114.00	114.00	103.00	92.00	81.00	79.00	68.00	64.00	54.00	47.00	37.00	29.00	24.00	21.00	17.00	15.00	15.00	15.00	14.00	14.00	13.00	12.00	13.00
E11000001	   Greater Manchester (Met County)	4040.00	3818.00	3573.00	3354.00	3105.00	2964.00	2813.00	2637.00	2372.00	2222.00	1960.00	1869.00	1819.00	1727.00	1520.00	1322.00	1171.00	1078.00	911.00	811.00	669.00	582.00	530.00	514.00	445.00	396.00	387.00	379.00	362.00	341.00	346.00
E08000001	      Bolton	414.00	390.00	362.00	343.00	330.00	313.00	270.00	254.00	240.00	235.00	203.00	185.00	172.00	166.00	144.00	122.00	102.00	89.00	80.00	79.00	71.00	63.00	58.00	56.00	50.00	44.00	42.00	43.00	40.00	38.00	39.00
E08000002	      Bury	365.00	336.00	304.00	262.00	243.00	282.00	374.00	349.00	274.00	261.00	200.00	192.00	215.00	261.00	244.00	176.00	161.00	161.00	104.00	96.00	53.00	25.00	19.00	17.00	15.00	14.00	13.00	14.00	13.00	12.00	13.00
E08000003	      Manchester	584.00	535.00	495.00	464.00	437.00	413.00	380.00	329.00	305.00	289.00	261.00	260.00	238.00	193.00	168.00	160.00	142.00	135.00	118.00	110.00	97.00	87.00	72.00	72.00	66.00	62.00	59.00	55.00	48.00	51.00	52.00
E08000004	      Oldham	238.00	234.00	216.00	216.00	192.00	185.00	175.00	163.00	159.00	155.00	151.00	147.00	145.00	140.00	132.00	114.00	98.00	91.00	76.00	69.00	46.00	33.00	30.00	29.00	26.00	25.00	24.00	22.00	21.00	19.00	22.00
E08000005	      Rochdale	297.00	286.00	263.00	246.00	223.00	207.00	187.00	182.00	160.00	142.00	127.00	123.00	110.00	97.00	76.00	66.00	60.00	47.00	37.00	33.00	29.00	22.00	19.00	17.00	17.00	15.00	12.00	13.00	12.00	11.00	12.00
E08000006	      Salford	380.00	375.00	359.00	340.00	318.00	309.00	290.00	286.00	287.00	282.00	265.00	261.00	253.00	238.00	223.00	222.00	216.00	217.00	211.00	201.00	188.00	184.00	177.00	163.00	125.00	94.00	99.00	98.00	97.00	89.00	87.00
E08000007	      Stockport	623.00	585.00	553.00	511.00	460.00	429.00	372.00	354.00	308.00	269.00	239.00	221.00	195.00	186.00	157.00	147.00	131.00	119.00	99.00	84.00	66.00	61.00	56.00	61.00	52.00	49.00	48.00	45.00	39.00	35.00	36.00
